"group" "subject" "activity" "place" "sensor" "axis" "activity_name" "mean"
"train" 27 1 "body" "gyro" "x" "WALKING" -0.0597289915398026
"train" 28 1 "body" "gyro" "x" "WALKING" -0.0806734690976128
"train" 29 1 "body" "gyro" "x" "WALKING" 0.0203363404825678
"train" 30 1 "body" "gyro" "x" "WALKING" -0.0188485731354808
"train" 1 1 "body" "gyro" "y" "WALKING" 0.00217139307711349
"train" 3 1 "body" "gyro" "y" "WALKING" -0.00161440306505657
"train" 5 1 "body" "gyro" "y" "WALKING" 0.00240460003061942
"train" 6 1 "body" "gyro" "y" "WALKING" -4.82396223917216e-05
"train" 7 1 "body" "gyro" "y" "WALKING" -0.00423138748870614
"train" 8 1 "body" "gyro" "y" "WALKING" -0.00968562202003581
"train" 11 1 "body" "gyro" "y" "WALKING" 0.00172872601490466
"train" 14 1 "body" "gyro" "y" "WALKING" -0.00389588568707627
"train" 15 1 "body" "gyro" "y" "WALKING" 0.00591304037698785
"train" 16 1 "body" "gyro" "y" "WALKING" 0.00214181024863266
"train" 17 1 "body" "gyro" "y" "WALKING" -0.00435146661043801
"train" 19 1 "body" "gyro" "y" "WALKING" -0.000369111026676683
"train" 21 1 "body" "gyro" "y" "WALKING" 0.0069123509246244
"train" 22 1 "body" "gyro" "y" "WALKING" -0.00981939026701766
"train" 23 1 "body" "gyro" "y" "WALKING" 0.00465923770891128
"train" 25 1 "body" "gyro" "y" "WALKING" -0.00349339046467483
"train" 26 1 "body" "gyro" "y" "WALKING" -0.00442977076982256
"train" 27 1 "body" "gyro" "y" "WALKING" 0.0170685330708059
"train" 28 1 "body" "gyro" "y" "WALKING" 0.0257609634136285
"train" 29 1 "body" "gyro" "y" "WALKING" -0.00344072565208137
"train" 30 1 "body" "gyro" "y" "WALKING" 0.00425411505637019
"train" 1 1 "body" "gyro" "z" "WALKING" -0.00061430490753125
"train" 3 1 "body" "gyro" "z" "WALKING" -0.00220595817404903
"train" 5 1 "body" "gyro" "z" "WALKING" -0.00211967320304129
"train" 6 1 "body" "gyro" "z" "WALKING" -0.00108519217804276
"train" 7 1 "body" "gyro" "z" "WALKING" -0.00983538524273602
"train" 8 1 "body" "gyro" "z" "WALKING" -0.0156530862346419
"train" 11 1 "body" "gyro" "z" "WALKING" -0.000866744037658898
"train" 14 1 "body" "gyro" "z" "WALKING" -0.0154953113462394
"train" 15 1 "body" "gyro" "z" "WALKING" -0.000922491521652199
"train" 16 1 "body" "gyro" "z" "WALKING" -0.00197736907808517
"train" 17 1 "body" "gyro" "z" "WALKING" -0.00470009816438525
"train" 19 1 "body" "gyro" "z" "WALKING" -0.00288661519673978
"train" 21 1 "body" "gyro" "z" "WALKING" 0.00532825406045883
"train" 22 1 "body" "gyro" "z" "WALKING" -0.00389750708479959
"train" 23 1 "body" "gyro" "z" "WALKING" 0.0094571146790776
"train" 25 1 "body" "gyro" "z" "WALKING" 0.000200971334026605
"train" 26 1 "body" "gyro" "z" "WALKING" -0.000542557285116525
"train" 27 1 "body" "gyro" "z" "WALKING" 0.0141340968396162
"train" 28 1 "body" "gyro" "z" "WALKING" 0.0131595852212818
"train" 29 1 "body" "gyro" "z" "WALKING" -0.000286608200722288
"train" 30 1 "body" "gyro" "z" "WALKING" -0.00105158165505288
"train" 1 1 "total" "acc" "x" "WALKING" 0.997061180921053
"train" 3 1 "total" "acc" "x" "WALKING" 0.997605530253233
"train" 5 1 "total" "acc" "x" "WALKING" 1.02361758344029
"train" 6 1 "total" "acc" "x" "WALKING" 1.01452100722314
"train" 7 1 "total" "acc" "x" "WALKING" 0.994824180523575
"train" 8 1 "total" "acc" "x" "WALKING" 0.981214367073568
"train" 11 1 "total" "acc" "x" "WALKING" 1.00387868650689
"train" 14 1 "total" "acc" "x" "WALKING" 0.902426043207097
"train" 15 1 "total" "acc" "x" "WALKING" 1.00788240189525
"train" 16 1 "total" "acc" "x" "WALKING" 0.99025582901348
"train" 17 1 "total" "acc" "x" "WALKING" 0.991004192661373
"train" 19 1 "total" "acc" "x" "WALKING" 0.996360136960637
"train" 21 1 "total" "acc" "x" "WALKING" 0.94602983039363
"train" 22 1 "total" "acc" "x" "WALKING" 0.99799481796875
"train" 23 1 "total" "acc" "x" "WALKING" 0.999455976694915
"train" 25 1 "total" "acc" "x" "WALKING" 0.999001927037584
"train" 26 1 "total" "acc" "x" "WALKING" 1.0154402207892
"train" 27 1 "total" "acc" "x" "WALKING" 1.00370603471765
"train" 28 1 "total" "acc" "x" "WALKING" 1.00331490865162
"train" 29 1 "total" "acc" "x" "WALKING" 1.01516424041863
"train" 30 1 "total" "acc" "x" "WALKING" 1.01808312405048
"train" 1 1 "total" "acc" "y" "WALKING" -0.263882523646155
"train" 3 1 "total" "acc" "y" "WALKING" -0.243620709883459
"train" 5 1 "total" "acc" "y" "WALKING" -0.0823350773042439
"train" 6 1 "total" "acc" "y" "WALKING" -0.196241246037771
"train" 7 1 "total" "acc" "y" "WALKING" -0.141635712329906
"train" 8 1 "total" "acc" "y" "WALKING" -0.199572612560449
"train" 11 1 "total" "acc" "y" "WALKING" -0.19346560968549
"train" 14 1 "total" "acc" "y" "WALKING" -0.254352353634767
"train" 15 1 "total" "acc" "y" "WALKING" -0.215537765812095
"train" 16 1 "total" "acc" "y" "WALKING" -0.0504107102183609
"train" 17 1 "total" "acc" "y" "WALKING" -0.162352696218427
"train" 19 1 "total" "acc" "y" "WALKING" -0.20607050288256
"train" 21 1 "total" "acc" "y" "WALKING" -0.352997735120868
"train" 22 1 "total" "acc" "y" "WALKING" -0.241043363783033
"train" 23 1 "total" "acc" "y" "WALKING" -0.14414367002562
"train" 25 1 "total" "acc" "y" "WALKING" -0.109891550965103
"train" 26 1 "total" "acc" "y" "WALKING" -0.114799658944637
"train" 27 1 "total" "acc" "y" "WALKING" -0.168947878267993
"train" 28 1 "total" "acc" "y" "WALKING" -0.210204494235903
"train" 29 1 "total" "acc" "y" "WALKING" -0.108657897050593
"train" 30 1 "total" "acc" "y" "WALKING" -0.139655392313875
"train" 1 1 "total" "acc" "z" "WALKING" -0.0733891163883255
"train" 3 1 "total" "acc" "z" "WALKING" -0.142689099779429
"train" 5 1 "total" "acc" "z" "WALKING" -0.00290405617793527
"train" 6 1 "total" "acc" "z" "WALKING" 0.0264318847108882
"train" 7 1 "total" "acc" "z" "WALKING" -0.16445306385065
"train" 8 1 "total" "acc" "z" "WALKING" -0.188225723926318
"train" 11 1 "total" "acc" "z" "WALKING" 0.126943435885395
"train" 14 1 "total" "acc" "z" "WALKING" -0.420208459625265
"train" 15 1 "total" "acc" "z" "WALKING" 0.0691294171804601
"train" 16 1 "total" "acc" "z" "WALKING" -0.219284775773894
"train" 17 1 "total" "acc" "z" "WALKING" -0.19299384288522
"train" 19 1 "total" "acc" "z" "WALKING" -0.0985817370919141
"train" 21 1 "total" "acc" "z" "WALKING" -0.221337923644066
"train" 22 1 "total" "acc" "z" "WALKING" 0.0178444977972181
"train" 23 1 "total" "acc" "z" "WALKING" -0.165187134149232
"train" 25 1 "total" "acc" "z" "WALKING" 0.179494807669815
"train" 26 1 "total" "acc" "z" "WALKING" 0.101131142356213
"train" 27 1 "total" "acc" "z" "WALKING" -0.131046397890392
"train" 28 1 "total" "acc" "z" "WALKING" -0.127744867128284
"train" 29 1 "total" "acc" "z" "WALKING" 0.0889569869437515
"train" 30 1 "total" "acc" "z" "WALKING" -0.00618352469072837
"test" 2 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00626711601526693
"test" 4 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00138054912814002
"test" 9 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00311991539501594
"test" 10 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00215434956525931
"test" 12 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.000949088958578726
"test" 13 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00399215926080114
"test" 18 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00250894305461476
"test" 20 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00525041073318015
"test" 24 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00158572095554555
"test" 2 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00224174608150846
"test" 4 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00778496399770733
"test" 9 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.0012441211607111
"test" 10 2 "body" "acc" "y" "WALKING_UPSTAIRS" 0.00144380708187832
"test" 12 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00483565996215445
"test" 13 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.0055603983673125
"test" 18 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00265818613400997
"test" 20 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.0058156146955239
"test" 24 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00422746342698623
"test" 2 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.0146031169508174
"test" 4 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.00195291145792819
"test" 9 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.0055865080603699
"test" 10 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.00326137924653258
"test" 12 2 "body" "acc" "z" "WALKING_UPSTAIRS" 0.000319738868057392
"test" 13 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.00576762120330881
"test" 18 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.0014364029575264
"test" 20 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.00420071156249004
"test" 24 2 "body" "acc" "z" "WALKING_UPSTAIRS" -0.00196254279941075
"test" 2 2 "body" "gyro" "x" "WALKING_UPSTAIRS" -0.0309573604757487
"test" 4 2 "body" "gyro" "x" "WALKING_UPSTAIRS" 0.0691595651582091
"test" 9 2 "body" "gyro" "x" "WALKING_UPSTAIRS" -0.140564908848342
"test" 10 2 "body" "gyro" "x" "WALKING_UPSTAIRS" 0.104186436201142
"test" 12 2 "body" "gyro" "x" "WALKING_UPSTAIRS" -0.0675002597771935
"test" 13 2 "body" "gyro" "x" "WALKING_UPSTAIRS" -0.114086646859687
"test" 18 2 "body" "gyro" "x" "WALKING_UPSTAIRS" -0.020001472873688
"test" 20 2 "body" "gyro" "x" "WALKING_UPSTAIRS" 0.0965282706310049
"test" 24 2 "body" "gyro" "x" "WALKING_UPSTAIRS" 0.119627441872113
"test" 2 2 "body" "gyro" "y" "WALKING_UPSTAIRS" 0.0190761039483724
"test" 4 2 "body" "gyro" "y" "WALKING_UPSTAIRS" -0.0052408352585637
"test" 9 2 "body" "gyro" "y" "WALKING_UPSTAIRS" 0.0149356898656633
"test" 10 2 "body" "gyro" "y" "WALKING_UPSTAIRS" -0.00953582886803856
"test" 12 2 "body" "gyro" "y" "WALKING_UPSTAIRS" 0.0149931818603155
"test" 13 2 "body" "gyro" "y" "WALKING_UPSTAIRS" 0.0352883336794815
"test" 18 2 "body" "gyro" "y" "WALKING_UPSTAIRS" 0.00980916234172953
"test" 20 2 "body" "gyro" "y" "WALKING_UPSTAIRS" -0.0452900463158854
"test" 24 2 "body" "gyro" "y" "WALKING_UPSTAIRS" -0.014264289788223
"test" 2 2 "body" "gyro" "z" "WALKING_UPSTAIRS" -0.007743288215625
"test" 4 2 "body" "gyro" "z" "WALKING_UPSTAIRS" -0.000866329750922476
"test" 9 2 "body" "gyro" "z" "WALKING_UPSTAIRS" 0.0262729609744898
"test" 10 2 "body" "gyro" "z" "WALKING_UPSTAIRS" 0.000723025549767287
"test" 12 2 "body" "gyro" "z" "WALKING_UPSTAIRS" 0.00153555737222055
"test" 13 2 "body" "gyro" "z" "WALKING_UPSTAIRS" 0.013431180009233
"test" 18 2 "body" "gyro" "z" "WALKING_UPSTAIRS" 0.00192121905792026
"test" 20 2 "body" "gyro" "z" "WALKING_UPSTAIRS" -0.012229143274663
"test" 24 2 "body" "gyro" "z" "WALKING_UPSTAIRS" -0.0272209411785858
"test" 2 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.888648334407552
"test" 4 2 "total" "acc" "x" "WALKING_UPSTAIRS" 1.00353952916166
"test" 9 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.970954030086097
"test" 10 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.992579551496011
"test" 12 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.998389077854567
"test" 13 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.931175603139205
"test" 18 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.957903418265086
"test" 20 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.880031612996324
"test" 24 2 "total" "acc" "x" "WALKING_UPSTAIRS" 0.975120269796081
"test" 2 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.399876286108333
"test" 4 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.222379972014313
"test" 9 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.0209356355106505
"test" 10 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.0369962858370645
"test" 12 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.245597535933083
"test" 13 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.344458693495199
"test" 18 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.300823343770205
"test" 20 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.467049824960172
"test" 24 2 "total" "acc" "y" "WALKING_UPSTAIRS" -0.223370834605151
"test" 2 2 "total" "acc" "z" "WALKING_UPSTAIRS" -0.212631736700791
"test" 4 2 "total" "acc" "z" "WALKING_UPSTAIRS" 0.0752361516597686
"test" 9 2 "total" "acc" "z" "WALKING_UPSTAIRS" -0.272525371071014
"test" 10 2 "total" "acc" "z" "WALKING_UPSTAIRS" 0.0135738852197909
"test" 12 2 "total" "acc" "z" "WALKING_UPSTAIRS" -0.0742414764333113
"test" 13 2 "total" "acc" "z" "WALKING_UPSTAIRS" -0.215214449772642
"test" 18 2 "total" "acc" "z" "WALKING_UPSTAIRS" -0.111240249965888
"test" 20 2 "total" "acc" "z" "WALKING_UPSTAIRS" -0.137594943772174
"test" 24 2 "total" "acc" "z" "WALKING_UPSTAIRS" -0.230697992565099
"train" 1 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00455728508969634
"train" 3 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.0034530665892214
"train" 5 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00187869311153923
"train" 6 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.0019261144401348
"train" 7 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00594931173813572
"train" 8 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.0038528055909032
"train" 11 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00284389562994792
"train" 14 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00312309149493345
"train" 15 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00152255917456087
"train" 16 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00444921395644914
"train" 17 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00514604121119792
"train" 19 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00730699633118555
"train" 21 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00255153063172433
"train" 22 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00601430835381696
"train" 23 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00568382952625613
"train" 25 2 "body" "acc" "x" "WALKING_UPSTAIRS" 8.64815500600961e-05
"train" 26 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00100657406355398
"train" 27 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00243288825597426
"train" 28 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00320866146053462
"train" 29 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00250443714551977
"train" 30 2 "body" "acc" "x" "WALKING_UPSTAIRS" -0.00126948207129808
"train" 1 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00357455272079452
"train" 3 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00801077242356991
"train" 5 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00807163455256981
"train" 6 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.0052998792535386
"train" 7 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00546843745079351
"train" 8 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00582385522955793
"train" 11 2 "body" "acc" "y" "WALKING_UPSTAIRS" -0.00691183572202402
